site,excavation_unit,provenience,trl_number,species,inside_date,inside_code,outside_date,outside_code,story,wall,feature,use,beam_condition,date_of_analysis,source,remarks,cra_notes
Aztec Ruins,,"Room 142, North Wall, East Vent",AZ-1550,JUN,1056,+/-,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR142/191-2,,,Show
Aztec Ruins,,"Room 142, North Wall, East Vent",AZ-1551,JUN,1067,no code,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR142/191-2,,,Show
Aztec Ruins,,"Room 142, North Wall, East Vent",AZ-1552,JUN,1075,no code,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR142/191-2,,,Show
Aztec Ruins,,"Room 142, North Wall, East Vent",AZ-1553,JUN,1006,no code,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR142/191-2,,,Show
Aztec Ruins,,"Room 142, North Wall, East Vent",AZ-1554,JUN,1063,no code,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR142/191-2,,,Show
Aztec Ruins,,"Room 142, North Wall, East Vent",AZ-1555,JUN,1066,no code,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR142/191-2,,,Show
Aztec Ruins,,"Room 142, North Wall, East Vent",AZ-1556,JUN,1074,p,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR142/191-2,,,Show
Aztec Ruins,,"Room 142, Primary Roof Beam",AZ-1558a,PP,1050,p,1115,v,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Inc.,Aztec,AZWR142/191-2,,,Show
Aztec Ruins,,"Room 142, Primary Roof Beam",AZ-1558b,PP,1053,p,1115,v,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Inc.,Aztec,AZWR142/191-2,,,Show
Aztec Ruins,,"Room 142, Primary Roof Beam",AZ-1558c,PP,1062,p,1115,v,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Inc.,Aztec,AZWR142/191-2,,,Show
Aztec Ruins,,Room 142,H-56,PP,1039,p,1115,L,,,,,,Apr-67,Dates on paper received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR142/191-2,,,Show
Aztec Ruins,,"Room 144, South Wall",AZ-1563,JUN,997,p,1117,+v,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Inc.,Aztec,AZWR144/140-2,,,Show
Aztec Ruins,,"Room 144, South Wall",AZ-1565,JUN,1030,p,1117,+LB,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR144/140-2,,,Show
Aztec Ruins,,"Room 144, South Wall",AZ-1566,JUN,1075,no code,1117,B,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR144/140-2,,,Show
Aztec Ruins,,"Room 144, South Wall",AZ-1569,DF,1083,p,1119,v,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Inc.,Aztec,AZWR144/140-2,,,Show
Aztec Ruins,,"Room 144, Loose",AZ-1574,JUN,904,+/-p,1118,c,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Inc.,Aztec,AZWR144/140-2,,,Show
Aztec Ruins,,"Room 144, Loose",AZ-1575,DF,1064,p,1112,v,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Inc.,Aztec,AZWR144/140-2,,,Show
Aztec Ruins,,Room 152,H-53,PP,1050,p,1112,L,,,,,,Apr-67,Dates on paper received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR152-2/199,,,Show
Aztec Ruins,,Room 152,H-54,PP,1014,p,1115,L,,,,,,Apr-67,Dates on paper received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR152-2/199,,,Show
Aztec Ruins,,"Room 153, South Wall",AZ-1667,PP,1079,p,1120,vv,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR153-2/198,,,Show
Aztec Ruins,,"Room 153, West Wall",AZ-1678,PP,1088,p,1112,v,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Inc.,Aztec,AZWR153-2/198,,,Show
Aztec Ruins,,Room 153,H-57,PP,1034,p,1115,L,,,,,,Apr-67,Dates on paper received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR153-2/198,,,Show
Aztec Ruins,,Room 153,H-58,PP,1011,p,1118,L,,,,,,Apr-67,Dates on paper received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR153-2/198,,,Show
Aztec Ruins,,"Room 156, West Wall, South Vent",AZ-1585,JUN,1060,p,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR156/157-2,,,Show
Aztec Ruins,,"Room 156, West Wall, South Vent",AZ-1588,JUN,989,+/-p,1107,++vv,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR156/157-2,,,Show
Aztec Ruins,,"Room 156, West Wall, North Vent",AZ-1591,JUN,1076,p,1118,vv,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR156/157-2,,,Show
Aztec Ruins,,Room 156,GP-2498,PP,851,no code,1115,L,,,,,,Apr-67,Dates on paper received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR156/157-2,,,Show
Aztec Ruins,,Room 156,GP-2499,PP,1008,no code,1115,L,,,,,,Apr-67,Dates on paper received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR156/157-2,,,Show
Aztec Ruins,,Room 158,H-70-1,PP,929,p,1115,c,,,,,,Apr-67,Dates on paper received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR158-2,,,Show
Aztec Ruins,,Room 158,H-70-2,PP,1028,p,1115,c,,,,,,Apr-67,Dates on paper received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR158-2,,,Show
Aztec Ruins,,Room 183,H-37,PP,1044,p,1115,L,,,,,,Apr-67,Dates on paper received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR183,,,Show
Aztec Ruins,,Room 183,H-38,PP,980,p,1115,L,,,,,,Apr-67,Dates on paper received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR183,,,Show
Aztec Ruins,,Room 184,H-51,PP,992,p,1115,L,,,,,,Apr-67,Dates on paper received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR184,,,Show
Aztec Ruins,,Room 184,H-52,PP,1008,p,1115,L,,,,,,Apr-67,Dates on paper received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR184,,,Show
Aztec Ruins,,Room 185,GP-2539,PP,1022,p,1113,v,,,,,,Apr-67,Dates on paper received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR185/265-2,,,Show
Aztec Ruins,,"Room 189, Primary Roof Beam",AZ-1594,PP,1034,no code,1115,v,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Inc.,Aztec,AZWR189/134-2,,,Show
Aztec Ruins,,Room 196,H-102,PP,1053,fp,1111,r,,,,,,Apr-67,Dates on paper received from Jeff Dean at the Tree-Ring Lab.,,"Aztec  There are two room 196s at Aztec West.  One is AZWR196/196-2 and the other is AZWR196-2/200.  Since there is not other story information given, we are assuming that this is AZWR196/196-2 - a first story context.  This interpretation was confirmed by G. Brown at AZRU NM on March 8th, 2007.",AZWR196/196-2,,,Show
Aztec Ruins,,"Room 197, East Wall, North Vent",AZ-1598,JUN,1024,no code,1117,vv,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, North Vent",AZ-1599,JUN,1055,p,1118,LB,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, North Vent",AZ-1600,JUN,1021,p,1105,++B,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, North Vent",AZ-1601,JUN,1012,+/-,1118,B,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, North Vent",AZ-1602,JUN,1062,+/-,1118,B,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, North Vent",AZ-1603,JUN,1079,p,1118,B,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, North Vent",AZ-1604,JUN,1074,no code,1118,B,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, North Vent",AZ-1607,JUN,1072,p,1118,B,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, South Vent",AZ-1611,JUN,1060,no code,1118,v,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, South Vent",AZ-1612,JUN,1072,p,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, South Vent",AZ-1613,JUN,1036,p,1118,B,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, South Vent",AZ-1614,JUN,1064,p,1118,B,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, South Vent",AZ-1615,JUN,1072,p,1118,B,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, South Vent",AZ-1616,JUN,1053,p,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, South Vent",AZ-1617,JUN,1067,p,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, South Vent",AZ-1618,JUN,1083,p,1118,B,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, South Vent",AZ-1619,JUN,1058,p,1118,vv,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, East Wall, South Vent",AZ-1620,JUN,1070,p,1117,vv,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, Primary Roof Beam",AZ-1629,PP,1020,p,1118,v,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, Primary Roof Beam",AZ-1630,PP,1046,no code,1121,v,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 197, Secondary Roof Beam",AZ-1636,PP,1075,no code,1118,+v,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Inc.,Aztec,AZWR197/177-2,,,Show
Aztec Ruins,,"Room 198, South Wall",AZ-1644,DF,1070,p,1118,v,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR198/153-2,,,Show
Aztec Ruins,,"Room 198, South Wall",AZ-1646,JUN,933,no code,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR198/153-2,,,Show
Aztec Ruins,,"Room 198, South Wall",AZ-1647,JUN,1022,+/-p,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR198/153-2,,,Show
Aztec Ruins,,"Room 198, North Wall",AZ-1657,JUN,1027,+/-,1118,B,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR198/153-2,,,Show
Aztec Ruins,,"Room 198, North Wall",AZ-1658,JUN,1042,p,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR198/153-2,,,Show
Aztec Ruins,,"Room 198, North Wall",AZ-1659,JUN,1010,no code,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR198/153-2,,,Show
Aztec Ruins,,"Room 198, North Wall",AZ-1660,JUN,1046,no code,1118,L,,,,,,,Electronic files received from Jeff Dean at the Tree-Ring Lab.,Comp.,Aztec,AZWR198/153-2,,,Show
