Year Lat Lon PMDI
204 36.25 -108.25 -0.71
205 36.25 -108.25 -0.36
206 36.25 -108.25 1.54
207 36.25 -108.25 -2.13
208 36.25 -108.25 -1.63
209 36.25 -108.25 -1.58
210 36.25 -108.25 -0.71
211 36.25 -108.25 -0.18
212 36.25 -108.25 1.28
213 36.25 -108.25 -0.06
214 36.25 -108.25 -1.13
215 36.25 -108.25 -1.62
216 36.25 -108.25 0.25
217 36.25 -108.25 -0.15
218 36.25 -108.25 -1.08
219 36.25 -108.25 -1
220 36.25 -108.25 0.03
221 36.25 -108.25 0.58
222 36.25 -108.25 -0.51
223 36.25 -108.25 -1.76
224 36.25 -108.25 -0.85
225 36.25 -108.25 -0.16
226 36.25 -108.25 -2.98
227 36.25 -108.25 1.58
228 36.25 -108.25 2.56
229 36.25 -108.25 -0.73
230 36.25 -108.25 -0.52
231 36.25 -108.25 -1.15
232 36.25 -108.25 1
233 36.25 -108.25 -2.05
234 36.25 -108.25 -2.2
235 36.25 -108.25 -2.21
236 36.25 -108.25 -3.65
237 36.25 -108.25 -1.41
238 36.25 -108.25 -1.75
239 36.25 -108.25 -0.14
240 36.25 -108.25 1.84
241 36.25 -108.25 0.97
242 36.25 -108.25 -0.49
243 36.25 -108.25 -2.84
244 36.25 -108.25 -2.01
245 36.25 -108.25 -1.88
246 36.25 -108.25 -0.23
247 36.25 -108.25 0.73
248 36.25 -108.25 -2.24
249 36.25 -108.25 -0.95
250 36.25 -108.25 -0.1
251 36.25 -108.25 -1.73
252 36.25 -108.25 0.17
253 36.25 -108.25 -0.32
254 36.25 -108.25 1.26
255 36.25 -108.25 0.53
256 36.25 -108.25 1.22
257 36.25 -108.25 0.47
258 36.25 -108.25 -2.01
259 36.25 -108.25 -1.56
260 36.25 -108.25 -0.6
261 36.25 -108.25 -1.95
262 36.25 -108.25 -0.58
263 36.25 -108.25 1.22
264 36.25 -108.25 1.17
265 36.25 -108.25 -0.19
266 36.25 -108.25 0
267 36.25 -108.25 0.64
268 36.25 -108.25 9.1
269 36.25 -108.25 8.32
270 36.25 -108.25 1.84
271 36.25 -108.25 1.72
272 36.25 -108.25 0.74
273 36.25 -108.25 3.94
274 36.25 -108.25 -1.85
275 36.25 -108.25 -1.73
276 36.25 -108.25 2.08
277 36.25 -108.25 2.77
278 36.25 -108.25 0
279 36.25 -108.25 -0.48
280 36.25 -108.25 2.76
281 36.25 -108.25 2.16
282 36.25 -108.25 2.18
283 36.25 -108.25 1.67
284 36.25 -108.25 -0.09
285 36.25 -108.25 -0.17
286 36.25 -108.25 -1.12
287 36.25 -108.25 0.98
288 36.25 -108.25 2.28
289 36.25 -108.25 2.28
290 36.25 -108.25 1.18
291 36.25 -108.25 -3.11
292 36.25 -108.25 -0.67
293 36.25 -108.25 -1.18
294 36.25 -108.25 -3.11
295 36.25 -108.25 1.06
296 36.25 -108.25 0.91
297 36.25 -108.25 -1.76
298 36.25 -108.25 0.77
299 36.25 -108.25 1.04
300 36.25 -108.25 -1.25
301 36.25 -108.25 1.25
302 36.25 -108.25 -2.93
303 36.25 -108.25 0.24
304 36.25 -108.25 6.41
305 36.25 -108.25 0.52
306 36.25 -108.25 0.2
307 36.25 -108.25 -0.66
308 36.25 -108.25 -0.88
309 36.25 -108.25 0.92
310 36.25 -108.25 2.27
311 36.25 -108.25 0.99
312 36.25 -108.25 -1.62
313 36.25 -108.25 -1.77
314 36.25 -108.25 2.36
315 36.25 -108.25 -0.4
316 36.25 -108.25 1.11
317 36.25 -108.25 0.53
318 36.25 -108.25 -1.29
319 36.25 -108.25 1.14
320 36.25 -108.25 -4.18
321 36.25 -108.25 -1.29
322 36.25 -108.25 -0.44
323 36.25 -108.25 -0.11
324 36.25 -108.25 -2.31
325 36.25 -108.25 -0.68
326 36.25 -108.25 -3.13
327 36.25 -108.25 -1.2
328 36.25 -108.25 -0.47
329 36.25 -108.25 0.63
330 36.25 -108.25 -0.05
331 36.25 -108.25 0.7
332 36.25 -108.25 0.59
333 36.25 -108.25 -1.91
334 36.25 -108.25 1.64
335 36.25 -108.25 0.24
336 36.25 -108.25 1.5
337 36.25 -108.25 0.68
338 36.25 -108.25 2.18
339 36.25 -108.25 0.29
340 36.25 -108.25 -2.55
341 36.25 -108.25 -3.29
342 36.25 -108.25 -2.59
343 36.25 -108.25 -1.14
344 36.25 -108.25 -3.32
345 36.25 -108.25 -1.25
346 36.25 -108.25 1.17
347 36.25 -108.25 0.14
348 36.25 -108.25 -0.28
349 36.25 -108.25 1.18
350 36.25 -108.25 -0.81
351 36.25 -108.25 0.44
352 36.25 -108.25 1.5
353 36.25 -108.25 -0.2
354 36.25 -108.25 0.79
355 36.25 -108.25 1.69
356 36.25 -108.25 1.12
357 36.25 -108.25 0.01
358 36.25 -108.25 1.21
359 36.25 -108.25 -2.18
360 36.25 -108.25 1.25
361 36.25 -108.25 -3.55
362 36.25 -108.25 -0.99
363 36.25 -108.25 -0.6
364 36.25 -108.25 -2.25
365 36.25 -108.25 -1.09
366 36.25 -108.25 -1.24
367 36.25 -108.25 0.89
368 36.25 -108.25 -0.74
369 36.25 -108.25 -2.28
370 36.25 -108.25 -3.64
371 36.25 -108.25 1.18
372 36.25 -108.25 2.44
373 36.25 -108.25 -0.77
374 36.25 -108.25 2.1
375 36.25 -108.25 -0.9
376 36.25 -108.25 1.29
377 36.25 -108.25 -0.08
378 36.25 -108.25 -0.66
379 36.25 -108.25 2.19
380 36.25 -108.25 -0.17
381 36.25 -108.25 -0.89
382 36.25 -108.25 -2.93
383 36.25 -108.25 -0.4
384 36.25 -108.25 2.35
385 36.25 -108.25 -3.48
386 36.25 -108.25 -0.69
387 36.25 -108.25 0.76
388 36.25 -108.25 0.71
389 36.25 -108.25 -0.04
390 36.25 -108.25 -0.35
391 36.25 -108.25 -0.27
392 36.25 -108.25 -2.35
393 36.25 -108.25 -2.29
394 36.25 -108.25 0.91
395 36.25 -108.25 -0.1
396 36.25 -108.25 -0.84
397 36.25 -108.25 1.08
398 36.25 -108.25 -0.71
399 36.25 -108.25 -1.4
400 36.25 -108.25 -1.54
401 36.25 -108.25 1.14
402 36.25 -108.25 -0.53
403 36.25 -108.25 -2.37
404 36.25 -108.25 1.86
405 36.25 -108.25 0.26
406 36.25 -108.25 -0.35
407 36.25 -108.25 2.43
408 36.25 -108.25 3.2
409 36.25 -108.25 -1.19
410 36.25 -108.25 1.21
411 36.25 -108.25 -0.13
412 36.25 -108.25 1.35
413 36.25 -108.25 1.89
414 36.25 -108.25 2.33
415 36.25 -108.25 1.62
416 36.25 -108.25 -0.15
417 36.25 -108.25 0.05
418 36.25 -108.25 0.01
419 36.25 -108.25 -1.41
420 36.25 -108.25 -1.46
421 36.25 -108.25 1.12
422 36.25 -108.25 1.84
423 36.25 -108.25 -2.42
424 36.25 -108.25 -0.35
425 36.25 -108.25 -0.55
426 36.25 -108.25 -3.2
427 36.25 -108.25 -2.08
428 36.25 -108.25 -0.26
429 36.25 -108.25 -1.5
430 36.25 -108.25 0.59
431 36.25 -108.25 -3.08
432 36.25 -108.25 -1.08
433 36.25 -108.25 4.63
434 36.25 -108.25 1.63
435 36.25 -108.25 -0.1
436 36.25 -108.25 3.28
437 36.25 -108.25 1.17
438 36.25 -108.25 -1.97
439 36.25 -108.25 -2.32
440 36.25 -108.25 -0.35
441 36.25 -108.25 0.77
442 36.25 -108.25 -1.06
443 36.25 -108.25 -0.91
444 36.25 -108.25 -0.48
445 36.25 -108.25 1.03
446 36.25 -108.25 -2.23
447 36.25 -108.25 -3.62
448 36.25 -108.25 -0.17
449 36.25 -108.25 -2.21
450 36.25 -108.25 1.26
451 36.25 -108.25 0.87
452 36.25 -108.25 -3.07
453 36.25 -108.25 -2.08
454 36.25 -108.25 1.12
455 36.25 -108.25 -3.43
456 36.25 -108.25 -2.29
457 36.25 -108.25 -1.35
458 36.25 -108.25 0.77
459 36.25 -108.25 2.66
460 36.25 -108.25 -1.24
461 36.25 -108.25 -2.62
462 36.25 -108.25 -0.26
463 36.25 -108.25 -3.14
464 36.25 -108.25 0.94
465 36.25 -108.25 1.83
466 36.25 -108.25 -0.67
467 36.25 -108.25 -0.32
468 36.25 -108.25 0.61
469 36.25 -108.25 -1.11
470 36.25 -108.25 -0.64
471 36.25 -108.25 -1.92
472 36.25 -108.25 -1.69
473 36.25 -108.25 -3.11
474 36.25 -108.25 -2.58
475 36.25 -108.25 1.87
476 36.25 -108.25 0.28
477 36.25 -108.25 3.42
478 36.25 -108.25 0.59
479 36.25 -108.25 0.25
480 36.25 -108.25 -0.02
481 36.25 -108.25 -0.47
482 36.25 -108.25 1.01
483 36.25 -108.25 -0.67
484 36.25 -108.25 1.9
485 36.25 -108.25 -0.82
486 36.25 -108.25 -1.86
487 36.25 -108.25 1.17
488 36.25 -108.25 -1.22
489 36.25 -108.25 2.85
490 36.25 -108.25 2.3
491 36.25 -108.25 0.1
492 36.25 -108.25 1
493 36.25 -108.25 -1.97
494 36.25 -108.25 1.89
495 36.25 -108.25 2.8
496 36.25 -108.25 2.9
497 36.25 -108.25 0.83
498 36.25 -108.25 0.19
499 36.25 -108.25 2.3
500 36.25 -108.25 -1.26
501 36.25 -108.25 -0.82
502 36.25 -108.25 1.14
503 36.25 -108.25 1.53
504 36.25 -108.25 3.35
