year,pmdi,pmdi_center
878,-3.379920692361551,-3.43
879,-0.8826266229807654,-0.94
880,-0.2823989189110342,-0.3
881,0.383809007935374,0.41
882,-1.7668564502660706,-1.78
883,-1.6586430726235906,-1.7
884,-3.3618258438488557,-3.41
885,-0.2922332715058853,-0.28
886,1.1540966650412967,1.2
887,1.4899087848470745,1.53
888,0.6859585833709432,0.67
889,-1.1250222325873622,-1.14
890,2.2937151039365338,2.29
891,-0.1627719900501412,-0.18
892,-2.7730227899228597,-2.8
893,1.836356477175883,1.84
894,-0.45636336682731055,-0.47
895,-0.6297935839029213,-0.66
896,2.0162371925705784,2.03
897,1.916498983124235,1.98
898,2.170351431229095,2.2
899,6.360604436377954,6.76
900,-0.4513905100418956,-0.46
901,-3.278864220602338,-3.31
902,0.5060746216939799,0.46
903,-1.1811070884782042,-1.27
904,-0.060875426791659734,-0.19
905,2.4388883061695665,2.39
906,-3.1046933749659,-3.13
907,-4.450116055187118,-4.53
908,1.993586286487695,1.94
909,2.2128013272648626,2.18
910,0.5457081250227724,0.51
911,2.412963457849468,2.44
912,0.42493323871146593,0.43
913,-0.6346996620314423,-0.63
914,-0.3956303918618116,-0.39
915,0.3879991635288172,0.35
916,0.3501400241142643,0.31
917,2.829490610202083,2.82
918,2.1614294793718725,2.19
919,1.6339993429893573,1.72
920,-1.2371291863511351,-1.32
921,-0.6741210652877752,-0.7
922,-2.3560836507190737,-2.39
923,-1.9365972760592216,-2.05
924,-3.404104857696063,-3.46
925,0.7150438268435649,0.72
926,1.7888927576236038,1.85
927,-0.42155246096425003,-0.41
928,2.183608833250029,2.23
929,1.2516625978872664,1.31
930,-2.145958124702035,-2.21
931,-0.11206925219613752,-0.11
932,0.778932546459826,0.82
933,0.9395065204829048,0.92
934,-0.9566125480088836,-0.99
935,-1.0142168217622043,-1.07
936,0.1863098085967668,0.17
937,-1.5575288159915806,-1.59
938,0.9732780065128952,0.99
939,-0.1646187178292107,-0.2
940,0.18218352690249667,0.19
941,1.6660629832049434,1.68
942,1.0496857392432073,1.07
943,0.058661087541359354,0.01
944,0.16331715651367998,0.16
945,1.3097591643628295,1.32
946,2.6953992603347263,2.68
947,0.17732721125000175,0.22
948,0.4432585977884465,0.48
949,2.6693721173218523,2.65
950,0.07745300730103692,0.06
951,-2.5417683290100554,-2.57
952,-0.891414208430767,-0.88
953,-0.08725427207618139,-0.13
954,-3.329631956128199,-3.41
955,-1.4611496560278094,-1.51
956,2.6597253121676245,2.62
957,-1.353146913160558,-1.41
958,-2.3044435728215262,-2.32
