year,pmdi,productivity,is_drought
500,-1.21717003644215,0.6391414981778925,True
501,-0.8031271540115841,0.6598436422994207,False
502,1.1263242883170768,0.7563162144158538,False
503,1.4477982601405675,0.7723899130070283,False
504,3.3768864173435693,0.8688443208671784,False
505,0.23721026506608686,0.7118605132533044,False
506,-0.8805565979407479,0.6559721701029626,False
507,-1.8858281645993193,0.605708591770034,True
508,-2.553755665616636,0.5723122167191681,True
509,0.10183472149714803,0.7050917360748573,False
510,1.862572525690785,0.7931286262845392,False
511,-0.09595087615770026,0.695202456192115,False
512,-2.3798184964362212,0.5810090751781889,True
513,-3.0526648194668624,0.5473667590266569,True
514,0.8662750659090435,0.7433137532954521,False
515,-2.3336280890848418,0.5833185955457578,True
516,-3.4650850626001026,0.5267457468699948,True
517,-2.698628223597562,0.5650685888201219,True
518,-0.49506768702205006,0.6752466156488974,False
519,-0.8407191693216245,0.6579640415339187,False
520,-2.3394378704692294,0.5830281064765385,True
521,-0.4100405438074648,0.6794979728096268,False
522,1.8159435278373646,0.7907971763918682,False
523,4.224571797088736,0.9112285898544368,False
524,-0.6651164066201999,0.6667441796689899,False
525,-1.1950197234036986,0.640249013829815,True
526,-4.809587913877107,0.4595206043061446,True
527,-1.2176288626347107,0.6391185568682645,True
528,0.3090521010991276,0.7154526050549563,False
529,0.1024045219916082,0.7051202260995804,False
530,1.694490070638368,0.7847245035319184,False
531,-0.9534229685312761,0.6523288515734361,False
532,-0.0036042561832498954,0.6998197871908375,False
533,0.13460175577053482,0.7067300877885268,False
534,1.4858783321263407,0.774293916606317,False
535,-1.0004349570414155,0.6499782521479291,True
536,-2.719774516703021,0.5640112741648489,True
537,1.0503483020911872,0.7525174151045593,False
538,0.5752123338569027,0.7287606166928451,False
539,-2.1010030128003923,0.5949498493599803,True
540,-0.3060043351165211,0.6846997832441739,False
541,0.5012433803643984,0.7250621690182198,False
542,-3.384612871559938,0.5307693564220031,True
543,-3.5425635135297733,0.5228718243235113,True
544,1.521654324337693,0.7760827162168846,False
