window,n,r_pearson,p_pearson,r_spearman,p_spearman
10-year,501,-0.031437643614355915,0.4826258027013788,-0.1376105166819934,0.002020886784289412
20-year,501,-0.0046839295475287835,0.9167096988191888,-0.06739065655501021,0.13197682240173528
30-year,501,0.005381700096309552,0.9043574098424983,-0.043939744574960436,0.32633538276232255
50-year,501,0.009013757495490337,0.8404989320966946,0.022552019808642448,0.6145525545675244
10-year (decadal),51,-0.12413311537789977,0.38546316604414077,-0.17404586431896918,0.22190786674947757
20-year (decadal),51,-0.08715159813950739,0.5431105088790081,-0.10540409101593898,0.46165229242152656
30-year (decadal),51,-0.04720266709195777,0.7422154612210263,-0.04033056311033032,0.7787166547996642
50-year (decadal),51,-0.01735162482612398,0.9038079396343431,0.06953383465238559,0.6277842575473259
