period,start,end,n_years,pmdi_mean,pmdi_sd,pmdi_var,pmdi_r1,n_drought_years,drought_frequency,active_houses,rooms_built,rooms_per_decade,new_starts
Pre-Chaco (750-850),750,850,100,0.052407371601335344,2.282387578291618,5.2092930575398775,0.3336813724485327,28,0.28,0,0.0,0.0,0
Early Bonito (850-1020),850,1020,170,0.021959504586392568,2.057856534790066,4.234773517778179,0.28406036602254797,49,0.28823529411764703,6,628.3998512938197,36.96469713493057,6
Classic Bonito (1020-1130),1020,1130,110,0.49859564652252364,1.9898594036295918,3.9595404462131145,0.35963896088034314,21,0.19090909090909092,13,1268.6519705434773,115.3319973221343,8
Late/Post-Chaco (1130-1250),1130,1250,120,-0.02317914442129223,1.9259154166416574,3.7091501920580088,0.31036604470804574,39,0.325,1,62.5,5.208333333333333,0
