year,pop_mean,pop_std,mon_mean,mon_std,sigma_mean,lambda_mean
801,0.0,0.0,0.0,0.0,0.1,0.3
802,0.0,0.0,0.0,0.0,0.1,0.3
803,0.0,0.0,0.0,0.0,0.1,0.3
804,0.0,0.0,0.0,0.0,0.1,0.3
805,0.0,0.0,0.0,0.0,0.1,0.3
806,0.0,0.0,0.0,0.0,0.1,0.3
807,0.0,0.0,0.0,0.0,0.1,0.3
808,0.0,0.0,0.0,0.0,0.1,0.3
809,0.0,0.0,0.0,0.0,0.1,0.3
810,0.0,0.0,0.0,0.0,0.1,0.3
811,0.0,0.0,0.0,0.0,0.1,0.3
812,0.0,0.0,0.0,0.0,0.1,0.3
813,0.0,0.0,0.0,0.0,0.1,0.3
814,0.0,0.0,0.0,0.0,0.1,0.3
815,0.0,0.0,0.0,0.0,0.1,0.3
816,0.0,0.0,0.0,0.0,0.1,0.3
817,0.0,0.0,0.0,0.0,0.1,0.3
818,0.0,0.0,0.0,0.0,0.1,0.3
819,0.0,0.0,0.0,0.0,0.1,0.3
820,0.0,0.0,0.0,0.0,0.1,0.3
821,0.0,0.0,0.0,0.0,0.1,0.3
822,0.0,0.0,0.0,0.0,0.1,0.3
823,0.0,0.0,0.0,0.0,0.1,0.3
824,0.0,0.0,0.0,0.0,0.1,0.3
825,0.0,0.0,0.0,0.0,0.1,0.3
826,0.0,0.0,0.0,0.0,0.1,0.3
827,0.0,0.0,0.0,0.0,0.1,0.3
828,0.0,0.0,0.0,0.0,0.1,0.3
829,0.0,0.0,0.0,0.0,0.1,0.3
830,0.0,0.0,0.0,0.0,0.1,0.3
831,0.0,0.0,0.0,0.0,0.1,0.3
832,0.0,0.0,0.0,0.0,0.1,0.3
833,0.0,0.0,0.0,0.0,0.1,0.3
834,0.0,0.0,0.0,0.0,0.1,0.3
835,0.0,0.0,0.0,0.0,0.1,0.3
836,0.0,0.0,0.0,0.0,0.1,0.3
837,0.0,0.0,0.0,0.0,0.1,0.3
838,0.0,0.0,0.0,0.0,0.1,0.3
839,0.0,0.0,0.0,0.0,0.1,0.3
840,0.0,0.0,0.0,0.0,0.1,0.3
841,0.0,0.0,0.0,0.0,0.1,0.3
842,0.0,0.0,0.0,0.0,0.1,0.3
843,0.0,0.0,0.0,0.0,0.1,0.3
844,0.0,0.0,0.0,0.0,0.1,0.3
845,0.0,0.0,0.0,0.0,0.1,0.3
846,0.0,0.0,0.0,0.0,0.1,0.3
847,0.0,0.0,0.0,0.0,0.1,0.3
848,0.0,0.0,0.0,0.0,0.1,0.3
849,0.0,0.0,0.0,0.0,0.1,0.3
850,349.0,353.4460391121996,859.7695506454535,870.722470558485,0.1,0.325
851,694.0,0.0,1689.6874205559957,0.0,0.1,0.35
852,694.0,0.0,1660.4327734357826,0.0,0.1,0.35
853,694.0,0.0,1631.763219257974,0.0,0.1,0.35
854,695.0,0.0,1603.6670561637216,0.0,0.1,0.35
855,696.0,0.0,1576.132816331354,0.0,0.1,0.35
856,698.0,0.0,1549.1492612956338,0.0,0.1,0.35
857,699.0,0.0,1522.705377360628,0.0,0.1,0.35
858,701.0,0.0,1496.8393711043225,0.0,0.1,0.35
859,703.0,0.0,1471.4906849731428,0.0,0.1,0.35
860,705.0,0.0,1446.6489725645868,0.0,0.1,0.35
861,707.0,0.0,1422.3040944042018,0.0,0.1,0.35
862,709.0,0.0,1398.4461138070246,0.0,0.1,0.35
863,711.0,0.0,1375.114292821791,0.0,0.1,0.35
864,705.0,0.0,1352.9772343035797,0.0,1.3546496659242795,0.9773248329621398
865,707.0,0.0,1331.2708086999503,0.0,1.330266631412312,0.9651333157061559
866,709.0,0.0,1309.9793101564824,0.0,1.2919134278050437,0.9459567139025218
867,703.0,0.0,1289.1747809978797,0.0,1.4153722437315281,1.007686121865764
868,697.0,0.0,1268.78631124917,0.0,1.5170691253625637,1.0585345626812819
