start_year,min_pmdi,total_deficit,end_year,duration,mean_pmdi
835,-2.015686611661377,-2.015686611661377,835,1,-2.015686611661377
837,-2.290140140754347,-2.290140140754347,837,1,-2.290140140754347
840,-3.060584531871851,-3.060584531871851,840,1,-3.060584531871851
846,-3.755460237871879,-5.524336969078856,847,2,-2.762168484539428
851,-1.1819534481618221,-1.1819534481618221,851,1,-1.1819534481618221
857,-2.013993946920611,-2.013993946920611,857,1,-2.013993946920611
864,-1.054851270008274,-1.054851270008274,864,1,-1.054851270008274
867,-2.5842303300951883,-5.017329584912389,868,2,-2.5086647924561944
870,-1.20210438155794,-1.20210438155794,870,1,-1.20210438155794
875,-1.6469024442644735,-1.6469024442644735,875,1,-1.6469024442644735
878,-3.379920692361551,-3.379920692361551,878,1,-3.379920692361551
882,-3.3618258438488557,-6.787325366738517,884,3,-2.262441788912839
889,-1.1250222325873622,-1.1250222325873622,889,1,-1.1250222325873622
892,-2.7730227899228597,-2.7730227899228597,892,1,-2.7730227899228597
901,-3.278864220602338,-3.278864220602338,901,1,-3.278864220602338
903,-1.1811070884782042,-1.1811070884782042,903,1,-1.1811070884782042
906,-4.450116055187118,-7.554809430153018,907,2,-3.777404715076509
920,-1.2371291863511351,-1.2371291863511351,920,1,-1.2371291863511351
922,-3.404104857696063,-7.696785784474359,924,3,-2.565595261491453
930,-2.145958124702035,-2.145958124702035,930,1,-2.145958124702035
935,-1.0142168217622043,-1.0142168217622043,935,1,-1.0142168217622043
937,-1.5575288159915806,-1.5575288159915806,937,1,-1.5575288159915806
951,-2.5417683290100554,-2.5417683290100554,951,1,-2.5417683290100554
954,-3.329631956128199,-4.7907816121560085,955,2,-2.3953908060780043
957,-2.3044435728215262,-3.6575904859820842,958,2,-1.8287952429910421
969,-2.4257447832082533,-2.4257447832082533,969,1,-2.4257447832082533
972,-3.56815702181736,-3.56815702181736,972,1,-3.56815702181736
975,-2.7916898761188498,-3.864280425123103,976,2,-1.9321402125615514
980,-4.470427392809275,-8.780607150629013,981,2,-4.3903035753145065
