variance_window,construction_window,r_pearson,p_pearson,r_spearman,p_spearman,n
10,10,-0.14309793861826148,0.012950447662831563,-0.18547621578170242,0.00122670632975881,301
10,20,-0.15025236463523883,0.009033803461037845,-0.20784122050789774,0.00028272715515638544,301
20,10,-0.1734176703983933,0.002535493697194614,-0.11699394261690024,0.04253024287427336,301
20,20,-0.14742656146086636,0.01043345957624022,-0.10987034452464392,0.0569080893753403,301
30,10,-0.12025888322544726,0.03704151319086272,-0.05158790542186157,0.3724536315330977,301
30,20,-0.12867132878844662,0.025590963382961632,-0.05054168560944616,0.38224046896369973,301
50,10,-0.11224714352155155,0.05171907401202642,-0.03682334506557061,0.5245034376168359,301
50,20,-0.11107218336535254,0.05423277604113558,-0.01666506493620517,0.7733887859262776,301
