year,total_population,total_monuments,total_exotics,total_conflicts,productivity,is_drought,pop_monument_builder,pop_balanced,pop_reproduction
801,0.0,0.0,0.0,0.0,0.7678049508347498,0.0,0.0,0.0,0.0
802,0.0,0.0,0.0,0.0,0.8183847990474917,0.0,0.0,0.0,0.0
803,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
804,0.0,0.0,0.0,0.0,0.8933963665019398,0.0,0.0,0.0,0.0
805,0.0,0.0,0.0,0.0,0.6936218303656356,0.0,0.0,0.0,0.0
806,0.0,0.0,0.0,0.0,0.587709788096572,0.0,0.0,0.0,0.0
807,0.0,0.0,0.0,0.0,0.43390709790880555,1.0,0.0,0.0,0.0
808,0.0,0.0,0.0,0.0,0.4705579767892909,1.0,0.0,0.0,0.0
809,0.0,0.0,0.0,0.0,0.16132567261645026,1.0,0.0,0.0,0.0
810,0.0,0.0,0.0,0.0,0.6631768931999362,0.0,0.0,0.0,0.0
811,0.0,0.0,0.0,0.0,0.6404209490038789,0.0,0.0,0.0,0.0
812,0.0,0.0,0.0,0.0,0.6301013929447549,0.0,0.0,0.0,0.0
813,0.0,0.0,0.0,0.0,0.7834472676597081,0.0,0.0,0.0,0.0
814,0.0,0.0,0.0,0.0,0.673782488008579,0.0,0.0,0.0,0.0
815,0.0,0.0,0.0,0.0,0.6384324948585143,0.0,0.0,0.0,0.0
816,0.0,0.0,0.0,0.0,0.49032943123968464,1.0,0.0,0.0,0.0
817,0.0,0.0,0.0,0.0,0.3767464985995295,1.0,0.0,0.0,0.0
818,0.0,0.0,0.0,0.0,0.3339882520212027,1.0,0.0,0.0,0.0
819,0.0,0.0,0.0,0.0,0.39001846752997826,1.0,0.0,0.0,0.0
820,0.0,0.0,0.0,0.0,0.9936232169496572,0.0,0.0,0.0,0.0
821,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
822,0.0,0.0,0.0,0.0,0.8347186818060802,0.0,0.0,0.0,0.0
823,0.0,0.0,0.0,0.0,0.25145742132629,1.0,0.0,0.0,0.0
824,0.0,0.0,0.0,0.0,0.3531719999061711,1.0,0.0,0.0,0.0
825,0.0,0.0,0.0,0.0,0.38230993494258525,1.0,0.0,0.0,0.0
826,0.0,0.0,0.0,0.0,0.6559032499776353,0.0,0.0,0.0,0.0
827,0.0,0.0,0.0,0.0,0.6602638133515539,0.0,0.0,0.0,0.0
828,0.0,0.0,0.0,0.0,0.7510364888026728,0.0,0.0,0.0,0.0
829,0.0,0.0,0.0,0.0,0.2944912148965156,1.0,0.0,0.0,0.0
830,0.0,0.0,0.0,0.0,0.39293167830346315,1.0,0.0,0.0,0.0
831,0.0,0.0,0.0,0.0,0.8149023908931617,0.0,0.0,0.0,0.0
832,0.0,0.0,0.0,0.0,0.6412797366289769,0.0,0.0,0.0,0.0
833,0.0,0.0,0.0,0.0,0.6102582933164978,0.0,0.0,0.0,0.0
834,0.0,0.0,0.0,0.0,0.5391653394035629,0.0,0.0,0.0,0.0
835,0.0,0.0,0.0,0.0,0.4387450710670898,1.0,0.0,0.0,0.0
836,0.0,0.0,0.0,0.0,0.5927591301222349,0.0,0.0,0.0,0.0
837,0.0,0.0,0.0,0.0,0.4167887887396522,1.0,0.0,0.0,0.0
838,0.0,0.0,0.0,0.0,0.5725108400114359,0.0,0.0,0.0,0.0
839,0.0,0.0,0.0,0.0,0.576997912728311,0.0,0.0,0.0,0.0
840,0.0,0.0,0.0,0.0,0.3551532374502519,1.0,0.0,0.0,0.0
841,0.0,0.0,0.0,0.0,0.5836264165426311,0.0,0.0,0.0,0.0
842,0.0,0.0,0.0,0.0,0.6771089829785555,0.0,0.0,0.0,0.0
843,0.0,0.0,0.0,0.0,0.9181088664293402,0.0,0.0,0.0,0.0
844,0.0,0.0,0.0,0.0,0.6149237910434507,0.0,0.0,0.0,0.0
845,0.0,0.0,0.0,0.0,0.6412680116423679,0.0,0.0,0.0,0.0
846,0.0,0.0,0.0,0.0,0.45848986150344173,1.0,0.0,0.0,0.0
847,0.0,0.0,0.0,0.0,0.29956318097024964,1.0,0.0,0.0,0.0
848,0.0,0.0,0.0,0.0,0.6043046681385261,0.0,0.0,0.0,0.0
849,0.0,0.0,0.0,0.0,0.5471975421957584,0.0,0.0,0.0,0.0
850,349.0,1741.519748964242,2.5,0.0,0.6029271460929246,0.0,349.0,0.0,0.0
851,627.0,3463.5376404783856,9.0,0.0,0.5054437241470542,1.0,627.0,0.0,0.0
852,627.0,3449.9176142079727,15.0,0.0,0.7399031183001923,0.0,627.0,0.0,0.0
853,627.0,3435.610902618371,21.0,0.0,0.7059766873831272,0.0,627.0,0.0,0.0
854,627.0,3424.001956363021,28.0,0.0,0.8113033506837172,0.0,627.0,0.0,0.0
855,627.0,3407.512820540869,33.0,0.0,0.6053136978552527,0.0,627.0,0.0,0.0
856,627.0,3393.7106789681966,39.0,0.0,0.7092965010404585,0.0,627.0,0.0,0.0
857,565.0,3373.19061832391,42.0,0.0,0.43888048424635107,1.0,565.0,0.0,0.0
858,566.0,3362.670693703517,49.0,0.0,0.8427120825745387,0.0,566.0,0.0,0.0
859,567.0,3346.4674574935807,54.0,0.0,0.6040598114656576,0.0,567.0,0.0,0.0
860,567.0,3330.782621453314,59.0,0.0,0.6187523617673971,0.0,567.0,0.0,0.0
861,567.0,3315.185005282948,64.0,0.0,0.6158816757026188,0.0,567.0,0.0,0.0
862,568.0,3301.7549672808127,70.0,0.0,0.6988172356501161,0.0,568.0,0.0,0.0
863,569.0,3285.4583439051394,75.0,0.0,0.5750948792881599,0.0,569.0,0.0,0.0
864,514.0,3267.634427061764,79.0,0.0,0.5156118983993381,1.0,514.0,0.0,0.0
865,515.0,3251.211038006337,84.0,0.0,0.5660051624485799,0.0,515.0,0.0,0.0
866,516.0,3236.1295917870025,89.0,0.0,0.6145604683870808,0.0,516.0,0.0,0.0
867,466.0,3215.877110075085,92.0,0.0,0.4053520596146239,1.0,466.0,0.0,0.0
868,421.0,3195.3358984418173,95.0,0.0,0.39326157359238484,1.0,421.0,0.0,0.0
869,423.0,3183.1506609759435,101.0,0.0,0.7292979393339156,0.0,423.0,0.0,0.0
