strategy,n_groups,total_population,total_monuments,total_exotics,total_conflicts,total_deaths,pop_per_group,monuments_per_group,deaths_per_capita,conflicts_per_capita
monument_builder,20,69,11480.102227563426,5872,8063,7603,3.45,574.0051113781713,110.18840579710145,116.85507246376811
balanced,8,24,285.56244120944615,36,3555,781,3.0,35.69530515118077,32.541666666666664,148.125
reproduction,7,21,324.9090081654382,10,2762,947,3.0,46.4155725950626,45.095238095238095,131.52380952380952
