year,sigma,pmdi
550.0,0.16245100777614432,2.251010162577282
551.0,0.16389248250042082,3.072798970970834
552.0,0.16389248250042082,2.85915460280373
553.0,0.16389248250042082,-0.25158859796293154
554.0,0.16389248250042082,-4.032947683089923
555.0,0.18017997814392658,2.3801305716612604
556.0,0.18017997814392658,1.6244752037397012
557.0,0.18017997814392658,1.302864589101213
558.0,0.1695811559001662,-0.7723100248111391
559.0,0.1628941524533526,-0.2288779726282997
560.0,0.1628941524533526,-0.6249675416114755
561.0,0.1628941524533526,-2.8249865001353975
562.0,0.1711884497343515,0.9131236913132327
563.0,0.16048917162595452,-3.2568471501984244
564.0,0.16162351790779653,-1.4186659440463907
565.0,0.17239841910164963,-2.8542180716519083
566.0,0.17239841910164963,-0.5103574666375574
567.0,0.15736542435778242,0.7082305640813427
568.0,0.14949169760468572,-2.656353248261975
569.0,0.1571305633836958,-3.3738080002984954
570.0,0.17185751799171414,-0.6201191495883066
571.0,0.16663448931645333,3.2920880220851485
572.0,0.16663448931645333,2.713484035935896
573.0,0.16663448931645333,1.8068056980258032
574.0,0.16663448931645333,5.0420207048004135
575.0,0.16663448931645333,7.4748592664956215
576.0,0.15552552336202313,2.2093726206360143
577.0,0.12496011254669658,-0.18225790604108488
578.0,0.12486817358145956,-2.5488260961110707
579.0,0.13217076422802687,-0.8081042647161463
580.0,0.13217076422802687,-0.9339272312858866
581.0,0.13217076422802687,1.8173347660778867
582.0,0.13217076422802687,1.4423907163477334
583.0,0.13217076422802687,0.4037551801751118
584.0,0.13217076422802687,-1.7421777888049246
585.0,0.13555595543088886,0.037075628624869524
586.0,0.12587338718582536,0.08585929220333328
587.0,0.11711579872484201,2.4636326309106233
588.0,0.11711579872484201,-2.152712091136141
589.0,0.12314308661828113,4.378668615523948
590.0,0.11737434411652074,-2.2611659529827097
591.0,0.12391424151545526,-3.263710426589475
592.0,0.13864448499944843,2.2218944759898935
593.0,0.1287413074994878,1.953268454788168
594.0,0.11598007868181927,2.014798098451809
595.0,0.11598007868181927,2.353881677579476
596.0,0.11598007868181927,-0.4575834354769167
597.0,0.11598007868181927,-0.6934508309718278
598.0,0.11598007868181927,1.3420130051196786
599.0,0.11598007868181927,-1.504957603212669
600.0,0.11893061237573882,3.61495493274367
601.0,0.11893061237573882,2.8857772599736937
602.0,0.11893061237573882,0.1720221870344082
603.0,0.11893061237573882,-1.8357617189985918
604.0,0.1238380969400172,-0.8828952764132346
605.0,0.10835156884492868,1.0183934238731318
606.0,0.10835156884492868,0.3193766596519121
607.0,0.10835156884492868,-0.14096856691928086
608.0,0.10835156884492868,2.6486841922443243
609.0,0.10835156884492868,0.13775033226749125
610.0,0.10835156884492868,-1.4922061104186624
611.0,0.11198130293421797,-4.24903175673263
612.0,0.12407024327746444,-0.04133741938023785
613.0,0.12407024327746444,-0.39846300852030125
614.0,0.11326949859109882,-0.8220588913779767
615.0,0.10455646023793735,-2.917802838215903
616.0,0.10483905920044401,-0.786319440712023
617.0,0.10483905920044401,0.38630733515837856
618.0,0.10483905920044401,1.377594911167783
619.0,0.09610247093374033,-1.7202143848759368
620.0,0.0893656080560929,-3.878607304426352
621.0,0.10708261166323446,3.3956060908870564
622.0,0.10708261166323446,6.403727282852478
623.0,0.10708261166323446,1.052054186754025
624.0,0.10708261166323446,-0.4345601774808932
625.0,0.10708261166323446,-1.7593057704885695
626.0,0.11202920471043742,-1.7211821327932502
