name,quality,monument_investment,exchange_partners,population
Outlier_23,0.4933373688251419,26.93840077497194,5.547487903687921,3
Outlier_21,0.506237087706885,27.472990955040558,5.637570940095759,3
Outlier_5,0.530879499230519,28.850845893449275,5.918730278912236,3
Outlier_18,0.530879499230519,28.85217905184029,5.919174277861095,3
Outlier_30,0.5654030511288038,30.832761047535822,6.330289519038522,3
Outlier_6,0.5763552096012866,31.608764445320936,6.509643280266016,3
Outlier_9,0.6178527093406275,34.861429401509305,7.28539481405619,3
Outlier_13,0.6178527093406275,35.394924230983015,7.445227448223907,3
Outlier_8,0.6277174568703543,35.66012669406178,7.4764075520102855,3
Outlier_25,0.6277174568703543,34.45847450564744,7.09042257669518,3
Outlier_29,0.6374011537017761,34.871168526816206,7.158503176521515,3
Outlier_4,0.6469134170179826,36.82010940042553,7.7267741581745675,3
Outlier_12,0.6654580949485621,37.23243116566032,7.741220129650116,3
Outlier_20,0.6745059989740254,39.7402828943963,8.463055974008567,3
Outlier_10,0.6834135999198412,37.476950995504936,7.69690746046957,3
Outlier_15,0.6834135999198412,37.45587501782356,7.689885792552351,3
Outlier_19,0.6921872290802245,38.6256570044366,8.015242722854767,3
Outlier_27,0.7008327554319921,40.41310899810863,8.534378753884855,3
Outlier_17,0.7093556315603275,39.427978962471514,8.160605005051574,3
Outlier_2,0.7177609338802279,39.85595013108928,8.24324152284443,3
Outlier_22,0.7177609338802279,39.512839974822505,8.129349391880332,3
Outlier_26,0.7342374499011729,44.95255314506579,9.720221312526817,3
Outlier_28,0.7342374499011729,41.082440980187755,8.53307461278087,3
Outlier_14,0.7423172335936726,44.01680768972806,9.415966498246297,3
Outlier_16,0.7581793068761733,45.09672332423444,9.662164918946573,3
Outlier_1,0.7659686822323446,42.72140476971164,8.85312675560997,3
Outlier_11,0.7812803073206044,47.018732241369804,10.127282715121416,3
Outlier_24,0.7812803073206044,44.479889331840184,9.325560540167439,3
Outlier_3,0.7962552897978072,47.636744240339354,10.237337647625207,3
Outlier_7,0.803623275827139,45.33683459474449,9.45417963175448,3
Kin Kletso,1.1155927192672128,182.0751799123925,46.00420457650354,29
Pueblo Alto,1.2579538604180838,100.91095837219186,23.060870343720318,3
Pueblo del Arroyo,1.7994116628998402,249.89784195816387,64.89774690428234,282
Chetro Ketl,1.859058189567848,149.61017045884134,34.17100618919363,3
Pueblo Bonito,2.0,130.23847638257502,27.266372567958904,3
